millis,accX,accY,accZ,gyroX,gyroY,gyroZ
18365627,-0.158017,-9.945514,4.496311,0.721047,0.127636,0.378643
18403734,0.090980,-11.140221,4.714183,0.185991,0.015721,0.293109
18441736,-0.260968,-9.847352,4.283227,-0.814576,-0.127103,0.014389
18479736,-0.612916,-9.780313,3.277662,-1.479933,-0.224361,-0.203577
18517735,0.172383,-9.279925,3.220201,-1.782368,-0.079939,-0.276588
18555736,0.469264,-9.006987,2.161964,-1.193752,-0.153482,-0.292842
18593735,-0.134075,-10.165780,1.391031,-1.386404,0.037038,-0.059155
18631736,1.022324,-8.853758,1.642422,-0.964594,0.045299,-0.160677
18669736,0.450110,-9.497798,0.718261,-0.445525,-0.104986,-0.212371
18707732,0.636858,-9.184157,0.526724,-0.146021,0.003464,0.135896
18745736,0.694318,-10.017340,0.852336,0.180662,0.071145,0.046364
18783736,0.574608,-10.826580,1.137246,-0.014389,-0.049029,-0.088466
18821736,0.366313,-9.868899,0.852336,-0.035972,-0.002931,0.049562
18859736,0.703895,-9.825804,0.871489,0.053026,0.002931,0.201979
18897736,0.296881,-10.457873,0.912191,-0.019718,-0.101256,-0.094061
