time,acceleration_x,acceleration_y,acceleration_z,gyro_x,gyro_y,gyro_z,temperature,label
1741001834.4987595,4.139575,1.848324,0.986411,0.63578,-1.340839,-0.253406,36.04176,falling
1741001834.558943,1.209072,0.943315,-1.206678,0.960331,-1.354429,-0.364521,36.05647,falling
1741001834.6150835,0.296881,-0.435745,-1.960851,1.353363,-1.977152,0.017853,36.06529,falling
1741001834.6755466,4.716578,3.639187,-5.712565,0.910502,-1.301669,-0.292842,36.05647,falling
1741001834.732685,8.53054,10.44111,-5.21936,0.928888,-1.63528,0.57849,36.05941,falling
1741001834.787497,4.750096,5.947197,-7.953538,0.422077,-0.674949,0.27792,36.05941,falling
1741001834.8446124,10.96305,12.82334,-7.024588,-0.575026,0.100456,1.247577,36.04765,falling
1741001834.9036458,9.315839,5.604826,-11.1474,-0.815375,0.329614,1.262233,36.03294,falling
1741001834.9699812,5.030218,12.1003,-6.58166,-0.678946,0.875063,1.372815,36.0447,falling
1741001835.026046,7.666234,1.321599,-8.14268,-0.625387,1.583054,1.540153,36.0447,falling
1741001835.0922086,0.486023,2.861071,-6.066907,-0.673084,2.388836,1.430637,36.07706,falling
1741001835.1569178,7.587225,-8.293514,0.68953,-0.029311,3.443228,0.675749,36.06823,falling
1741001835.2127173,13.41471,6.777985,1.714248,-1.060254,4.089666,-0.910502,36.05353,falling
1741001835.2785199,19.43852,13.63019,7.311892,-3.355562,3.851982,0.97472,36.05647,falling
1741001835.3323188,7.424419,-19.41698,9.040505,-3.164242,3.000634,0.324551,36.04765,falling
1741001835.400501,-11.2719,0.555455,2.755726,-2.598009,3.22393,-1.39653,36.05941,falling
1741001835.4636185,4.927267,-7.675811,10.75475,-2.675816,1.760251,2.211106,36.06823,falling
1741001835.522465,1.331176,-18.9525,19.88863,0.81351,4.893583,1.818606,36.06235,falling
1741001835.5844357,-13.5033,-5.305551,6.756437,1.253706,2.110916,0.203844,36.03882,falling
1741001835.6404727,-4.388572,-2.27928,8.391677,-0.147087,0.023449,0.615262,36.04176,falling
1741001835.710357,-7.184999,-4.328717,4.534618,0.542251,-0.516937,-1.903075,36.05353,falling
1741001835.7919102,3.600879,1.517924,7.884106,-0.375446,0.750092,0.095926,36.03294,falling
1741001835.8494728,-4.630386,-2.547431,11.82736,-0.244879,0.702395,-0.031975,36.03882,falling
1741001835.911176,-2.537854,-2.908955,8.930372,0.19958,-0.398894,-0.042101,36.03,falling
1741001835.9711206,0.141258,-0.198719,8.027759,0.015988,-0.370116,-0.135096,36.04176,falling
1741001836.0330064,-1.577779,-2.810793,9.672575,-0.002132,-0.079672,-0.190787,36.04765,falling
1741001836.0953975,-1.338359,-4.726154,8.777143,0.007994,-0.049296,0.071412,36.04765,falling
1741001836.1503534,-1.465251,-2.511518,8.336611,-0.050628,-0.046631,-0.173467,36.0447,falling
1741001836.2179775,-1.711854,-2.767697,8.76996,-0.058089,0.033308,-0.044766,36.04176,falling
1741001836.276394,-1.620875,-2.217031,8.520964,-0.138028,-0.102322,-0.080472,36.03294,falling
1741001836.338251,-1.956063,-2.990358,8.983045,-0.069014,-0.060221,-0.085268,36.04176,falling
1741001836.3964028,-1.575385,-2.760514,9.066842,-0.009593,-0.146288,-0.011458,36.03882,falling
1741001836.461998,-1.189918,-2.185906,8.765172,0.006662,-0.029577,-0.066616,36.05941,falling
1741001836.5288537,-1.786075,-2.276886,8.808268,-0.001066,-0.035972,-0.059421,36.03882,falling
1741001836.6122944,-1.960851,-3.337517,9.097966,0.016521,-0.069014,-0.022116,36.04176,falling
1741001836.6673012,-1.723825,-3.131616,9.31105,0.180395,-0.265397,0.032508,36.05353,falling
1741001836.7338552,-1.632846,-2.762909,9.138668,0.325351,-0.487893,0.085002,36.05353,falling
1741001836.7979949,-1.580173,-3.062184,9.433155,0.358658,-0.740766,0.212104,36.05647,falling
1741001836.8570316,-1.204283,-2.590526,9.481039,0.433268,-0.975253,0.220098,36.04176,falling
1741001836.9253259,-1.000776,-2.128445,10.21845,0.492423,-0.988309,0.233421,36.06235,falling
1741001836.9873867,-0.612916,-1.400608,10.35013,0.586217,-1.280086,0.188655,36.03882,falling
1741001837.0477242,0.663194,-0.593762,9.758766,0.597675,-1.167106,0.223562,36.04176,falling
1741001837.1048367,2.336741,-0.426168,9.02614,0.575559,-1.214003,-0.086067,36.03588,falling
1741001837.1611462,3.679888,0.107739,8.063671,0.468974,-0.867868,-0.227026,36.04765,falling
1741001837.2600994,4.029441,0.47884,7.601591,0.474037,-0.645905,-0.019985,36.02118,falling
1741001837.3286028,5.216966,0.196325,7.594408,0.171335,-0.31709,0.011724,36.0447,falling

1741001917.128513,5.659893,8.307879,-2.640805,1.258502,-0.49642,0.363455,35.98294,falling
1741001917.1845324,11.71243,10.63026,-0.31364,0.693069,-0.174266,0.048763,35.97118,falling
1741001917.245055,7.216124,13.86961,-5.65271,0.010658,0.353329,0.018652,35.97706,falling
1741001917.3000894,8.576031,9.0429,-0.557849,0.559571,-0.823902,0.317623,35.97706,falling
1741001917.3527987,5.760449,10.46745,-2.94008,-0.599274,0.164674,0.247544,35.96529,falling
1741001917.408206,5.439626,6.751649,-2.049437,-0.9129,0.240349,0.189188,35.96529,falling
1741001917.4622085,2.762909,6.947973,-2.6839,-1.093296,-0.202511,0.220364,35.98294,falling
1741001917.5188613,8.707711,8.221688,-0.351948,-1.401593,-0.198248,0.81804,35.97118,falling
1741001917.5737038,3.830723,4.022259,-2.743755,-1.393599,-0.031975,-0.116444,35.95647,falling
1741001917.627971,6.265626,7.831434,0.799663,-0.962462,-0.217966,0.610466,35.95059,falling
1741001917.6886938,7.599196,5.489904,-0.426168,-0.562502,0.075675,-0.255005,35.97118,falling
1741001917.7437277,3.790021,7.254431,-0.574608,-0.432469,-0.512407,0.353596,35.95941,falling
1741001917.8093731,4.271256,-4.192247,-1.764527,-0.33974,-0.472704,-0.143623,35.97706,falling
1741001917.8735294,1.879448,6.619968,1.11091,-1.037338,-0.282717,1.213204,35.95941,falling
1741001917.9284964,5.693412,2.834735,-5.56173,-0.988576,0.272591,0.381041,35.95353,falling
1741001917.983362,2.597709,7.445967,-3.536236,-1.024282,0.385305,0.893449,35.98,falling
1741001918.0385494,7.414843,-4.93445,-2.480393,-0.745029,0.111381,0.336542,35.97706,falling
1741001918.0924554,7.199365,-1.572991,7.850587,-0.955534,2.669421,2.593213,35.95353,falling
1741001918.1736472,-9.445126,36.89225,10.11311,-0.334144,2.314227,0.815375,35.95941,falling
1741001918.2401192,27.86372,-6.981492,30.03526,-4.491758,6.688741,1.331247,35.95353,falling
1741001918.3021321,-4.685453,-0.914585,5.001487,-3.384073,0.977917,-2.328083,35.94765,falling
1741001918.3604174,-17.17122,-10.68772,-5.585672,-0.568364,-3.469342,-3.640144,35.95941,falling
1741001918.4137778,6.605602,-0.916979,9.141062,-0.708257,0.822836,-0.89638,35.94471,falling
1741001918.4703639,5.621585,-6.746861,15.5671,0.819372,2.087734,1.487127,35.95353,falling
1741001918.526958,4.91769,-3.426103,15.96693,-1.577458,1.878294,2.580956,35.95941,falling
1741001918.5835586,-3.131616,1.264138,5.712565,-0.606735,1.225194,0.01732,35.93882,falling
1741001918.6481488,-2.674323,-3.399766,5.729325,-0.867069,1.309397,0.16041,35.93882,falling
1741001918.7067785,-0.835576,-1.043872,12.75152,-0.118309,-0.767145,0.934217,35.93294,falling
1741001918.7672858,-0.847547,-2.011129,12.86405,-0.067415,-0.13483,0.403424,35.94765,falling
1741001918.8232172,0.799663,-1.438915,7.608773,-0.130567,-0.274723,-0.324551,35.94765,falling
1741001918.8862126,-0.179565,-2.13084,8.63828,0.219832,-0.24408,0.145489,35.93882,falling
1741001918.9534085,0.052672,-1.719037,9.404425,0.239283,-0.604603,-0.039436,35.93294,falling
1741001919.0110054,2.097321,-1.16837,6.260838,-0.351997,-0.120708,-0.111914,35.94176,falling
1741001919.077329,2.236184,0.677559,7.424419,-0.251274,0.194518,-0.101256,35.92706,falling
1741001919.1436877,2.576161,-0.976834,10.64462,-0.31336,0.42261,-0.281917,35.93294,falling
1741001919.2027595,0.584185,-3.076549,9.540894,-0.109783,-0.171335,0.080472,35.93588,falling
1741001919.2611725,2.044648,-2.070984,9.318233,-0.006395,-0.008793,0.014389,35.95059,falling
1741001919.321838,0.45011,-1.338359,9.406818,-0.018386,0.023715,-0.359991,35.94471,falling
1741001919.3815005,-0.146046,-2.135628,8.868123,-0.14389,0.084735,-0.006662,35.93588,falling
1741001919.4520433,0.914585,-2.051831,10.14423,0.028511,0.224628,0.051427,35.94765,falling
1741001919.5085087,0.129287,-1.613692,8.963891,-0.033574,-0.032775,0.03091,35.93294,falling
1741001919.5722077,1.024718,-2.209848,9.433155,-0.033574,0.063951,-0.077274,35.93882,falling
1741001919.626624,0.440533,-1.841141,9.564836,-0.041835,0.037838,-0.066616,35.94471,falling
1741001919.6893148,0.814029,-1.848324,9.102755,-0.006662,0.046098,-0.033574,35.93588,falling
1741001919.7755425,0.687136,-2.145205,9.449914,-0.05649,-0.002665,0.038104,35.94176,falling
1741001919.833056,0.414197,-2.217031,9.459491,-0.051427,-0.006662,-0.024248,35.94471,falling
1741001919.894835,0.610521,-1.946486,9.184157,-0.023715,0.007194,-0.027712,35.93588,falling

1741002001.9142833,5.075707,8.394072,2.528277,-0.009859,-0.05276,0.047164,35.82412,falling
1741002001.970194,5.188235,7.501034,2.286463,0.154548,-0.128701,-0.16121,35.83,falling
1741002002.0252802,4.005499,7.228095,1.063026,0.144423,-0.304567,0.113779,35.82706,falling
1741002002.0807421,5.274426,8.173804,1.355118,0.103387,-0.400493,0.593145,35.82706,falling
1741002002.136735,4.793192,5.303157,0.019154,0.22676,-0.676815,0.77887,35.83294,falling
1741002002.1926782,2.142811,2.56419,2.425326,0.545982,-0.933418,0.497485,35.82412,falling
1741002002.2476473,1.776498,-0.42138,0.057461,1.318723,-1.296606,0.495887,35.83883,falling
