millis,accX,accY,accZ,gyroX,gyroY,gyroZ
1741855948578.6138,9.569624,-0.768539,0.859518,0.024248,0.593678,-0.052227
1741855948783.1384,10.05325,0.622492,2.121263,0.11751,0.524132,-0.354129
1741855948989.1848,8.358158,0.926556,1.091756,-0.443926,0.485495,-0.867069
1741855949192.6406,8.327033,1.66397,6.045359,0.561969,0.968325,-1.762383
1741855949402.849,3.002329,6.720524,7.297527,0.536655,1.209207,-1.208674
1741855949605.9766,2.619257,5.894525,5.204995,-0.501749,1.070913,-1.116478
1741855949822.5894,0.392649,5.930438,8.295909,0.313893,0.451387,-0.436998
1741855950023.4941,-1.201889,6.698977,6.10282,0.459648,0.676015,-0.157479
1741855950224.4705,-1.359907,7.94875,5.092467,0.825767,0.235286,0.344003
1741855950434.905,-1.331176,8.362947,4.213795,0.268328,-0.273124,-0.008793
1741855950634.2239,-1.130063,8.456321,4.5418,-0.119109,-0.010392,-0.025314
1741855950835.217,-1.149217,7.862558,4.711789,0.019718,0.038104,0.017853
1741855951055.8923,-1.06542,8.346188,4.443638,-0.035173,0.021051,0.023449
1741855951243.2527,-0.581791,7.979874,4.673482,-0.10472,-0.019718,0.077807
1741855951467.547,-1.592144,7.340622,5.422867,0.224894,-0.499617,0.145755
1741855951652.9724,0.04549,8.101978,4.436456,-0.342937,-0.463911,0.537721
1741855951867.2803,1.70946,7.943961,5.849035,-0.572628,-0.520668,0.612864
1741855952123.5388,3.303998,6.854599,5.93762,-0.570763,-0.235286,0.758619
1741855952382.6365,5.099649,4.5418,4.721366,-0.207574,-1.238518,1.054925
1741855952571.427,8.475474,2.422932,4.173094,-0.983513,-0.955801,0.554242
1741855952775.886,7.611167,-1.125275,3.502717,-1.292876,-0.328815,1.050395
1741855953002.027,9.775525,-1.869871,3.131616,-0.60407,-0.195317,0.48736
1741855953173.545,9.528923,-2.827552,2.961627,-0.342671,-0.192119,0.311228
1741855953403.1157,9.457097,-3.045424,2.145205,-0.418613,-0.454052,0.139626
1741855953602.6829,9.294291,-3.737349,1.180341,-0.997636,-0.637378,-0.044499
1741855953809.4521,9.868899,-3.351882,-2.554613,-0.869467,-1.518836,-0.394364
1741855954019.1458,8.166622,-2.5187,-6.040571,0.074876,-0.947541,-0.143623
1741855954219.3696,8.101978,-2.901772,-6.588843,0.412484,-0.546781,-0.175332
1741855954418.775,8.209718,-2.25055,-7.137115,0.275256,-0.234221,-0.231556
1741855954618.985,7.615956,-2.470816,-6.892907,0.320554,-0.138294,-0.189988
