millis,accX,accY,accZ,gyroX,gyroY,gyroZ
744181698,7.194576,-0.615310,-4.036624,0.782600,2.240949,-0.897446
744224701,6.260838,0.505177,-2.518700,1.036006,2.485828,-0.965660
744267698,3.734955,2.315193,-1.022324,0.742364,3.225795,-1.242248
744353698,1.036689,2.863465,-0.543484,1.609700,3.079507,-0.932619
744396698,-1.649605,4.865018,-1.173159,1.793026,3.499185,-1.275023
744439697,-4.879383,6.042965,-0.359130,0.872665,3.974821,-1.541752
744482701,-9.694122,8.595184,4.072537,0.173201,4.697200,-1.881225
744525698,-13.050794,11.346122,12.902353,-0.503881,4.753957,-1.473005
744568701,-13.467384,10.206482,15.497667,-0.103654,3.612432,-1.273158
744611698,-12.720393,11.693281,18.907011,-1.132998,2.559106,-0.481231
744654701,-12.289437,5.152322,22.105665,-1.864438,1.259835,0.799387
744697698,-9.888053,-0.457293,16.673222,0.585418,-0.377044,0.741032
744740698,-6.607996,2.889802,11.659762,0.586750,-0.689871,-0.000533
744783703,-5.609614,4.659117,10.117896,-0.464977,-0.608067,0.019452
