millis,accX,accY,accZ,gyroX,gyroY,gyroZ
22140701,6.864176,0.023942,4.367024,-0.278187,-1.459415,-0.261666
22183706,5.147533,1.043872,4.276044,-0.044766,-1.893482,-0.325617
22226706,5.114015,0.241814,3.234566,-0.043167,-2.455985,-0.374913
22269706,2.815581,1.635240,2.566584,-0.315492,-2.985446,-0.585152
22312701,1.678335,1.520318,0.938527,-0.029311,-3.723547,-0.500683
22355706,-2.734178,3.191471,-2.389413,0.291510,-4.221299,-0.455651
22398701,-3.464410,2.406173,-5.334281,1.388802,-4.878395,0.185458
22441701,-6.438008,1.814805,-10.237606,0.047164,-5.309531,0.119642
22484706,-8.104373,2.073379,-14.449007,-0.297639,-5.576793,-0.111115
22527701,-7.951144,1.719037,-24.037785,0.455651,-5.763051,0.165207
22570701,-0.871489,-1.359907,-36.346375,0.633914,-3.768579,0.680545
22613701,1.936909,-4.726154,-30.334536,-0.629384,-0.624588,-0.373314
22656701,-0.545878,0.181959,-20.523096,-1.185758,0.640309,-0.889185
22699701,-1.091756,2.315193,-14.968549,-0.229957,0.811378,-0.356793
22742702,-0.450110,1.292869,-12.698846,-0.183859,0.642708,-0.017320
