time,acceleration_x,acceleration_y,acceleration_z,gyro_x,gyro_y,gyro_z,temperature,label
1741001824.0516293,5.760449,6.256049,-2.645593,0.927289,-0.816974,-0.116977,36.07706,lying
1741001824.106383,6.495469,8.14268,-2.178724,0.76155,-0.905972,-0.104453,36.08588,lying
1741001824.1612833,5.712565,5.092467,-1.932121,0.953669,-1.140726,-0.28245,36.09765,lying
1741001824.2181923,4.132392,3.335123,-4.082114,0.654432,-0.816707,-0.402092,36.09471,lying
1741001824.2761114,5.011064,8.504205,-5.145139,-0.124704,-0.807648,-0.484162,36.10059,lying
1741001824.3385246,7.522582,6.282385,-4.426879,0.72238,-1.411985,-0.185991,36.08,lying
1741001824.4057376,3.842694,6.354211,-5.461174,0.181461,-0.751158,-0.409553,36.08,lying
1741001824.463706,6.038177,7.915231,-6.265626,-0.106052,-0.32162,-0.463378,36.08294,lying
1741001824.519819,6.071695,8.681376,-6.993463,-0.365054,-0.270992,-0.050361,36.08883,lying
1741001824.579254,7.079654,8.307879,-6.359,-0.442594,0.169204,-0.44366,36.07706,lying
1741001824.6403787,6.050148,8.710106,-8.034941,-0.159877,0.503081,0.078873,36.08,lying
1741001824.6940007,6.356606,11.21923,-6.713342,-0.643507,0.993372,-0.092462,36.08588,lying
1741001824.748434,8.106767,8.037335,-6.311116,-0.724778,0.829498,0.218766,36.07117,lying
1741001824.8017838,4.898537,8.60955,-3.873818,-1.247844,0.115112,-0.265397,36.07412,lying
1741001824.8557293,4.764462,7.065289,-3.722984,-0.618193,1.385338,0.314426,36.08883,lying
1741001824.9116752,4.582502,11.33176,-4.683059,-0.762349,1.945443,0.650435,36.05941,lying
1741001824.987871,6.385336,7.879318,-2.937685,-0.084735,2.0443,-0.018652,36.06529,lying
1741001825.0592737,4.582502,9.186552,-0.562637,-0.00373,2.015522,0.474303,36.07412,lying
1741001825.117046,7.750031,7.958326,-0.665588,0.195583,1.814343,0.594744,36.09765,lying
1741001825.1775134,11.4371,2.298434,2.487576,1.159645,1.476735,0.349332,36.07706,lying
1741001825.2428994,3.25372,11.3126,-1.984793,-0.414083,0.993905,-1.491657,36.10059,lying
1741001825.3031924,4.165911,10.22564,3.107674,0.569697,2.731773,0.156147,36.07412,lying
1741001825.362207,7.201759,5.097255,3.495534,-0.132965,1.604904,-0.281118,36.07412,lying
1741001825.4288712,2.540248,11.30542,1.776498,-0.398628,1.140726,-1.010959,36.06235,lying
1741001825.5038676,3.885789,6.090849,3.246537,-0.933684,0.525464,-0.621657,36.08,lying
1741001825.568233,3.825934,8.635885,3.320758,-1.276355,0.459115,-0.248609,36.09471,lying
1741001825.6295097,4.783615,6.040571,4.668694,-0.940879,0.252873,-0.035706,36.07706,lying
1741001825.6914287,2.995146,6.500257,4.407725,-1.30007,0.978184,-0.179862,36.07117,lying
1741001825.750039,3.416526,6.979098,7.156269,-0.511075,0.937948,-0.095127,36.06529,lying
1741001825.8085692,2.511518,5.722142,5.978322,-0.84442,1.358426,-0.043966,36.07117,lying
1741001825.877015,1.877054,5.978322,6.710948,-0.718383,0.77434,-0.136962,36.08588,lying
1741001825.9325945,0.818817,6.019023,7.644686,-0.924092,0.988576,-0.650968,36.06529,lying
1741001825.9931548,0.751779,5.221754,6.751649,-1.325651,0.845219,-0.409819,36.08294,lying
1741001826.0601492,0.92895,4.857835,7.366959,-1.552144,0.63125,-0.706392,36.08588,lying
1741001826.1171527,0.409408,4.505888,9.150639,-1.846052,0.614196,-0.3051,36.08883,lying
1741001826.179953,0.198719,1.137246,9.169792,-1.358959,0.819372,-0.508144,36.08883,lying
1741001826.2359056,-2.662352,1.668759,11.13783,-1.673651,0.116444,-0.939014,36.08588,lying
1741001826.2913592,-2.15957,-0.792481,12.77785,-0.891317,0.262466,0.170003,36.08588,lying
1741001826.345749,0.067038,-1.357512,7.094019,-1.094628,-0.177198,-0.349599,36.10059,lying
1741001826.4049318,-4.218584,-1.479617,12.04762,-0.193985,-0.569164,0.403158,36.10647,lying
1741001826.470688,0.849942,0.232238,8.882488,-0.621124,0.400227,0.134031,36.07706,lying
1741001826.527299,0.3304,-0.004788,10.62307,-0.490025,0.121773,0.236619,36.10353,lying
1741001826.5925443,-1.163582,-1.017536,10.32859,-0.450322,-0.319489,-0.007461,36.08294,lying
1741001826.6535065,-0.21069,-1.814805,9.124303,-0.393832,0.04823,0.129767,36.08883,lying
1741001826.7132633,-0.272939,-1.051055,10.48182,-0.444193,0.223562,0.210772,36.08588,lying
1741001826.7790587,-0.483629,-1.798046,9.351752,-0.409553,0.315758,0.202511,36.08883,lying
1741001826.8387291,-1.39582,-1.860295,9.586384,-0.224628,0.151351,0.184925,36.09765,lying

1741001905.4620101,3.301604,2.920926,0.213084,0.92196,-0.812178,-0.118309,36.00059,lying
1741001905.521773,2.497152,1.94888,-1.338359,1.049596,-0.916364,-0.11298,36.01529,lying
1741001905.5815127,3.359065,3.711013,-1.534683,1.007495,-1.052527,-0.207041,36.03,lying
1741001905.643059,4.836287,4.922479,-4.084508,0.863871,-1.234521,-0.554775,36.01235,lying
1741001905.699893,5.085284,7.271191,-5.020641,0.740766,-1.452487,-0.387969,36.01235,lying
1741001905.770676,5.585672,7.551312,-5.446809,0.364254,-1.466876,-0.458049,36.00353,lying
1741001905.8513184,6.521805,8.149862,-6.519411,-0.076475,-1.166573,-0.483896,36.03,lying
1741001905.9057913,6.469133,9.756371,-7.115568,-0.228358,-0.74423,-0.355727,36.01823,lying
1741001905.9755657,6.370971,9.888053,-6.471527,-0.355461,0.06102,-0.459914,36.01235,lying
1741001906.0380964,8.561666,9.272743,-3.727772,0.572361,-0.457516,-1.381874,36.01823,lying
1741001906.091522,1.187524,11.38682,-9.756371,0.765813,-0.410619,-1.062919,36.01529,lying
1741001906.1527128,2.796427,12.44267,-11.63103,-2.850616,0.966193,-0.825234,36.00353,lying
1741001906.2065995,2.710236,6.79235,-2.681506,0.307764,-0.350931,-0.609933,36.00353,lying
1741001906.294775,2.128445,9.950302,-5.212177,-2.542052,1.127136,0.641908,35.99176,lying
1741001906.3588192,0.122104,8.724471,-3.210624,-1.564668,0.814043,0.364254,35.96529,lying
1741001906.4170933,1.084573,10.03649,-4.501099,-1.527629,0.760484,0.889718,36.00353,lying
1741001906.4815328,5.319916,9.653421,0.292093,-1.096493,0.097525,1.379476,36.00059,lying
1741001906.549637,4.163517,7.055712,-1.254562,-0.848683,1.24891,0.721047,35.98882,lying
1741001906.6058524,4.201824,9.114726,1.321599,-1.301403,1.925724,0.937149,35.99176,lying
1741001906.6897402,6.021417,7.19697,3.770868,-0.947541,1.173234,0.713853,36.00353,lying
1741001906.749209,4.103662,4.91769,4.07972,-1.320588,1.437832,0.38717,36.01529,lying
1741001906.8057582,4.122815,6.947973,5.540183,-1.441828,0.944077,0.294175,35.99471,lying
1741001906.8720577,4.314352,5.683835,6.540959,-1.127136,0.452187,0.077008,36.01529,lying
1741001906.9318588,5.025429,4.967968,5.901707,-1.111149,0.247011,0.464444,35.98882,lying
1741001906.9919186,5.324705,4.163517,6.397307,-0.986977,-0.002132,0.313893,36.01529,lying
1741001907.0626695,4.649539,4.355053,6.876147,-1.056524,0.110315,0.529194,35.98294,lying
1741001907.1172554,4.948815,2.971204,6.471527,-1.078107,0.036239,0.705326,36.01529,lying
1741001907.1775637,6.751649,3.979163,9.131485,-1.287547,0.769277,0.452187,36.01823,lying
1741001907.238645,6.191406,1.599327,8.350976,-0.94008,1.027479,0.405556,36.01235,lying
1741001907.3006608,3.0143,0.658405,8.604761,-1.378943,1.374147,0.652833,36.00941,lying
1741001907.3595643,2.813187,-0.885855,10.09156,-1.176165,0.758352,0.870533,36.00059,lying
1741001907.4157057,3.354277,-0.251391,10.38605,-0.942744,0.626453,0.42261,36.00353,lying
1741001907.4687116,2.801216,-0.208296,9.959879,-0.740499,0.813244,0.402092,36.00941,lying
1741001907.524426,2.657564,-0.371101,8.779537,-0.556374,0.892116,0.526263,36.01529,lying
1741001907.5893118,2.111686,-1.455675,9.868899,-0.435133,1.049063,0.840423,36.01529,lying
1741001907.6455424,0.732626,-1.572991,10.30225,-0.39543,1.128735,0.563035,35.98294,lying
1741001907.9138846,-1.218649,-2.676718,9.691729,-0.003997,0.153482,-0.1311,36.00647,lying
1741001907.969151,-0.617704,-1.441309,9.68694,0.13936,-0.074077,-0.268061,35.99765,lying
1741001908.0369108,-0.993594,-0.670376,9.320627,-0.146288,0.134297,-0.049296,36.01823,lying
1741001908.0999696,-0.507571,-1.73819,8.90643,-0.239816,0.173201,0.108983,36.02118,lying
1741001908.153087,-0.754174,-2.087744,9.222465,-0.137495,-0.002132,0.03011,36.00647,lying
1741001908.2090487,-0.653617,-1.63524,9.325416,-0.109783,-0.012257,-0.082603,36.02412,lying
1741001908.2645082,-0.847547,-1.956063,9.02614,-0.315492,0.084202,0.074609,36.02412,lying
1741001908.323492,-0.603339,-2.715025,8.841787,-0.220364,0.198248,0.066349,36.01823,lying

1741001991.470418,4.326323,5.973533,-0.835576,0.886521,-0.443926,-0.025314,35.92706,lying
1741001991.5238752,4.618415,5.884948,-1.987187,1.01309,-0.590214,-0.137228,35.90941,lying
1741001991.5849671,3.86903,4.831499,-3.107674,1.054392,-0.501482,-0.245145,35.93,lying
1741001991.6412094,3.440468,5.228937,-3.315969,1.136196,-0.744763,-0.180928,35.92706,lying
1741001991.6937578,4.874595,7.893683,-4.685453,1.196417,-0.962462,-0.188655,35.90647,lying
1741001991.76101,3.79481,6.823475,-5.137957,0.86174,-1.155648,-0.374646,35.94765,lying
1741001991.8158221,4.560954,7.594408,-6.840234,0.382374,-0.99577,-0.217966,35.94176,lying
1741001991.8859756,4.106056,8.243237,-6.703765,0.1303,-0.925691,-0.289911,35.93588,lying
1741001991.9627974,4.27365,8.734048,-7.072472,-0.151084,-0.450322,-0.294441,35.93294,lying
1741001992.0311658,4.41012,8.722076,-7.716512,-0.210239,-0.045032,-0.08287,35.92706,lying
1741001992.086132,5.05416,7.872135,-7.328651,-0.183593,0.288845,-0.002398,35.92412,lying
1741001992.1491184,5.2026,8.803479,-7.826645,-0.083936,0.303234,-0.304567,35.92706,lying
1741001992.2210572,6.998251,8.06846,-6.988675,-0.354129,0.229957,1.417048,35.92118,lying
1741001992.2830195,1.501164,11.07558,-7.57286,-0.402625,0.494821,-1.070913,35.93882,lying
1741001992.3423269,5.951985,7.414843,-6.564901,-0.446858,0.501749,-0.127902,35.90941,lying
1741001992.3977184,1.00317,11.34612,-7.240066,-0.773541,0.565433,-0.234221,35.91824,lying
1741001992.456304,5.295974,6.121974,-5.521029,-0.872398,0.689072,0.743164,35.91529,lying
1741001992.514524,4.31914,7.8865,-4.479551,-1.0877,1.472205,0.206242,35.91824,lying
1741001992.5769517,3.406949,7.927202,-3.490746,-1.192953,1.478867,0.22223,35.92118,lying
1741001992.6341078,3.818752,7.723695,-2.506729,-0.907305,1.378943,0.646704,35.92118,lying
1741001992.6880214,3.967192,8.422802,-3.469198,-0.940879,0.957933,0.835893,35.92118,lying
1741001992.7416837,10.20169,9.100361,1.292869,-0.668288,0.661893,0.155348,35.93882,lying
1741001992.8058002,5.365406,7.90326,-0.342371,-0.229424,0.270726,-1.160178,35.92118,lying
