millis,accX,accY,accZ,gyroX,gyroY,gyroZ
1741854430406.2512,0.148441,0.732626,9.332599,-0.002132,-0.02558,0.010925
1741854430588.7356,0.069432,0.624887,9.473856,-0.009859,-0.038904,-0.01279
1741854430798.382,0.129287,0.699107,9.504981,-0.018386,-0.01732,-0.003997
1741854430987.4238,0.114922,0.656011,9.540894,-0.006395,-0.028511,-0.003198
1741854431215.4387,0.09098,0.682347,9.483433,0.001066,-0.002398,-0.007461
1741854431411.8804,0.150835,0.677559,9.476251,-0.00826,-0.005063,-0.013323
1741854431611.316,0.050278,0.675165,9.497798,-0.018119,0.014123,-0.007461
1741854431821.2603,-0.026336,0.581791,9.220071,-0.043167,0.031176,-0.011724
1741854432037.75,0.088585,0.684742,9.464279,-0.023449,-0.014389,-0.012257
1741854432230.0935,0.007183,0.663194,9.476251,-0.013856,-0.013323,-0.013057
1741854432442.386,0.040701,0.682347,9.471462,-0.004796,-0.014123,-0.016254
1741854432628.554,0.172383,0.691924,9.272743,0.019718,-0.024248,0.007727
1741854432829.9832,0.031125,0.749385,9.49301,-0.000266,-0.005329,-0.020518
1741854433041.3154,0.062249,0.6608,9.55047,-0.017853,-0.005329,-0.014123
1741854433255.7988,0.069432,0.679953,9.495404,-0.010658,-0.021317,-0.006395
1741854433445.316,0.026336,0.701501,9.481039,-0.008793,-0.015188,-0.007727
1741854433672.8245,0.047884,0.718261,9.440337,0.003464,0.003198,-0.008527
1741854433900.197,0.035913,0.749385,9.516952,-0.014922,-0.015721,-0.009859
1741854434078.9412,0.040701,0.746991,9.469068,-0.012524,-0.015721,-0.006662
1741854434295.9097,0.043096,0.739808,9.502586,-0.015188,-0.019452,-0.00453
1741854434494.8457,0.134075,0.725443,9.512163,0.011458,-0.03917,-0.006928
1741854434708.2075,0.114922,0.708684,9.555259,-0.03544,-0.013057,-0.00826
1741854434894.1438,0.055067,0.701501,9.449914,-0.018386,-0.012257,-0.008793
1741854435098.2031,0.088585,0.64404,9.488221,-0.012257,-0.015721,-0.011991
1741854435315.8467,0.129287,0.687136,9.301474,0.005063,-0.006395,-0.004263
1741854435529.1814,0.071826,0.723049,9.483433,-0.007994,-0.022383,-0.011724
1741854435726.4087,0.138864,0.663194,9.502586,-0.02185,-0.015721,-0.010658
1741854435908.943,0.126893,0.713472,9.461885,-0.006395,-0.007727,-0.01279
1741854436144.6348,0.083797,0.679953,9.454702,-0.010392,-0.015455,-0.00453
1741854436347.4802,0.162806,0.70629,9.576807,0.000799,-0.025847,-0.00373
