millis,accX,accY,accZ,gyroX,gyroY,gyroZ
1743849780831.054,10.16578,-2.190695,1.731008,-0.130833,-0.115112,-0.137495
1743849781241.5576,9.572019,-3.775656,0.890643,0.455651,-0.135096,0.580888
1743849781665.4275,13.78581,0.799663,3.744531,-1.667256,-0.249142,-1.062119
1743849782097.2815,15.47133,-7.723695,0.859518,0.508943,-1.198815,-0.118043
1743849782465.3455,9.849746,-2.032677,1.987187,-0.659761,-0.1303,-0.636312
1743849782894.1096,7.244854,-2.466028,-0.237026,0.099923,-0.829764,-0.201979
1743849783306.0464,6.323087,-1.594538,-0.064643,0.406888,-0.494821,-0.131366
1743849783690.7698,6.100426,-1.319205,-0.270545,0.115911,-0.184392,0.196383
1743849784128.0156,6.940791,-1.23062,0.737414,0.271259,-0.108717,-0.195317
1743849784509.935,9.859323,-2.578555,0.821211,-0.253939,-0.390634,0.306965
