millis,accX,accY,accZ,gyroX,gyroY,gyroZ
32702,1.02,0.03,-0.06,0.16,2.24,-0.99
53968,1.01,0.03,-0.07,4.15,0.12,-6.2
54074,1.02,0.03,-0.06,4.16,0.12,-6.2
54180,1.02,0.02,-0.06,4.18,0.1,-6.23
54287,1.02,0.03,-0.06,4.18,0.11,-6.24
54393,1.02,0.03,-0.07,4.19,0.11,-6.28
54499,1.03,0.03,-0.05,4.15,0.13,-6.29
54606,1.01,0.04,-0.06,4.22,0.04,-6.28
54713,1.01,0.03,-0.04,4.19,0.01,-6.26
54820,1.02,0.03,-0.05,4.22,0.02,-6.26
54926,1.0,0.02,-0.09,4.21,-0.17,-6.27
55032,1.01,0.03,-0.06,4.19,-0.27,-6.26
55139,1.02,0.04,-0.06,4.22,-0.3,-6.25
55245,1.02,0.03,-0.06,4.18,-0.29,-6.24
55352,1.03,0.03,-0.06,4.2,-0.28,-6.23
55459,1.02,0.03,-0.06,4.17,-0.28,-6.24
55565,1.02,0.03,-0.06,4.17,-0.3,-6.22
55672,1.02,0.02,-0.07,4.19,-0.3,-6.21
55780,1.02,0.03,-0.05,4.18,-0.3,-6.22
55885,1.02,0.03,-0.07,4.19,-0.27,-6.18
55991,1.02,0.03,-0.05,4.23,-0.28,-6.21
56097,0.95,0.02,-0.06,4.3,-0.41,-6.69
56204,1.04,0.03,-0.06,4.28,-0.39,-6.81
56310,1.02,0.03,-0.05,4.26,-0.43,-6.83
56416,1.05,0.03,-0.06,4.23,-0.35,-6.8
56522,1.02,0.03,-0.06,4.26,-0.32,-6.82
56628,1.02,0.03,-0.06,4.27,-0.32,-6.82
56735,1.02,0.02,-0.07,4.29,-0.33,-6.82
56841,1.02,0.03,-0.06,4.28,-0.31,-6.83
56947,1.03,0.03,-0.05,4.28,-0.29,-6.85
57054,1.02,0.04,-0.06,4.27,-0.24,-6.84
57159,1.03,0.02,-0.06,4.28,-0.22,-6.85
57265,1.01,0.03,-0.06,4.25,-0.23,-6.91
57373,1.02,0.03,-0.06,4.26,-0.2,-6.95
57479,1.02,0.02,-0.07,4.27,-0.22,-6.94
57585,1.02,0.02,-0.06,4.28,-0.18,-6.94
57692,1.01,0.03,-0.06,4.28,-0.16,-6.93
57798,1.02,0.03,-0.06,4.33,-0.15,-6.93
57905,1.02,0.03,-0.05,4.36,-0.14,-6.95
58012,1.02,0.02,-0.06,4.37,-0.18,-6.91
58119,1.02,0.03,-0.05,4.38,-0.18,-6.9
58226,1.01,0.03,-0.06,4.37,-0.19,-6.91
58333,1.02,0.03,-0.07,4.41,-0.2,-6.89
58440,1.02,0.03,-0.05,4.42,-0.2,-6.89
58546,1.03,0.03,-0.05,4.42,-0.18,-6.88
58652,1.02,0.03,-0.06,4.42,-0.16,-6.9
58758,1.02,0.03,-0.07,4.44,-0.2,-6.84
58866,1.02,0.02,-0.05,4.44,-0.2,-6.84
58973,1.02,0.03,-0.05,4.42,-0.16,-6.82
59080,1.02,0.03,-0.06,4.42,-0.24,-6.81
59187,1.02,0.03,-0.05,4.42,-0.25,-6.86
59293,1.02,0.04,-0.05,4.42,-0.22,-6.87
59399,1.02,0.02,-0.08,4.42,-0.2,-6.88
59505,1.02,0.03,-0.06,4.42,-0.19,-6.88
59611,1.02,0.03,-0.06,4.4,-0.22,-6.85
59717,1.03,0.03,-0.06,4.4,-0.24,-6.86
59823,1.01,0.03,-0.06,4.4,-0.24,-6.9
59931,1.01,0.03,-0.06,4.38,-0.19,-6.95
60038,1.02,0.03,-0.06,4.39,-0.17,-6.97
60145,1.02,0.02,-0.06,4.39,-0.15,-6.98
60252,1.03,0.03,-0.06,4.4,-0.16,-6.97
60358,1.02,0.03,-0.07,4.4,-0.18,-6.94
60464,1.02,0.03,-0.05,4.41,-0.15,-6.91
60571,0.99,0.03,-0.06,4.41,-0.28,-6.87
60678,1.02,0.02,-0.06,4.43,-0.25,-6.8
60785,1.02,0.02,-0.06,4.46,-0.26,-6.77
60892,1.03,0.03,-0.05,4.45,-0.25,-6.78
60999,1.02,0.03,-0.06,4.43,-0.26,-6.8
61105,1.02,0.03,-0.06,4.44,-0.28,-6.82
61211,1.01,0.03,-0.06,4.45,-0.26,-6.8
61317,1.02,0.04,-0.06,4.46,-0.28,-6.81
61423,1.02,0.03,-0.06,4.46,-0.27,-6.82
61529,1.02,0.03,-0.06,4.46,-0.26,-6.82
61635,1.02,0.02,-0.06,4.46,-0.22,-6.84
61742,1.02,0.03,-0.06,4.49,-0.22,-6.84
61850,1.02,0.04,-0.06,4.52,-0.21,-6.85
61957,1.02,0.04,-0.05,4.51,-0.2,-6.88
62063,1.02,0.03,-0.05,4.48,-0.2,-6.91
62169,1.01,0.03,-0.06,4.45,-0.19,-6.91
62276,1.02,0.03,-0.06,4.46,-0.16,-6.92
62382,1.02,0.03,-0.05,4.48,-0.17,-6.93
62490,1.02,0.03,-0.05,4.47,-0.16,-6.94
62597,1.02,0.03,-0.06,4.48,-0.15,-6.93
62704,1.02,0.03,-0.07,4.47,-0.17,-6.92
62811,1.02,0.03,-0.06,4.48,-0.17,-6.91
62917,1.01,0.03,-0.06,4.51,-0.11,-6.9
63024,1.02,0.03,-0.07,4.54,-0.13,-6.91
63131,1.01,0.03,-0.06,4.56,-0.14,-6.9
63238,1.02,0.03,-0.05,4.61,-0.16,-6.88
63344,1.02,0.03,-0.06,4.62,-0.19,-6.88
63451,1.02,0.03,-0.06,4.64,-0.16,-6.92
63556,1.03,0.03,-0.07,4.63,-0.18,-6.91
63662,1.02,0.03,-0.06,4.63,-0.19,-6.91
63767,1.03,0.03,-0.06,4.62,-0.2,-6.88
63872,1.02,0.03,-0.06,4.6,-0.22,-6.87
63977,1.02,0.04,-0.06,4.62,-0.2,-6.86
64082,1.03,0.03,-0.05,4.64,-0.22,-6.83
64189,1.02,0.03,-0.06,4.65,-0.21,-6.84
64295,1.02,0.03,-0.07,4.65,-0.16,-6.86
64402,1.02,0.04,-0.06,4.6,-0.13,-6.88
64509,1.02,0.02,-0.06,4.61,-0.1,-6.9
64616,1.02,0.03,-0.06,4.62,-0.06,-6.91
64723,1.03,0.03,-0.06,4.61,-0.07,-6.91
64829,1.02,0.03,-0.05,4.62,-0.05,-6.89
64935,1.02,0.03,-0.06,4.64,-0.08,-6.87
65041,1.02,0.02,-0.06,4.62,-0.07,-6.91
65147,1.03,0.03,-0.05,4.68,-0.04,-6.89
65255,1.02,0.03,-0.07,4.69,-0.05,-6.89
65362,1.02,0.03,-0.06,4.78,-0.05,-6.87
65469,1.02,0.03,-0.05,4.88,-0.05,-6.89
65575,1.03,0.02,-0.06,4.86,-0.04,-6.91
65682,1.02,0.04,-0.06,4.91,-0.08,-6.97
65788,1.02,0.03,-0.05,4.91,-0.02,-6.99
65895,1.02,0.03,-0.05,4.95,-0.03,-6.97
66002,1.02,0.03,-0.07,4.93,-0.02,-7.01
66108,1.01,0.04,-0.06,4.94,-0.01,-7.01
66215,1.02,0.02,-0.06,4.99,0.03,-7.05
66321,1.02,0.03,-0.06,4.97,0.03,-7.07
66428,1.02,0.03,-0.05,4.97,0.08,-7.1
66535,1.01,0.03,-0.05,5.02,0.07,-7.11
66641,1.02,0.03,-0.06,4.97,0.1,-7.12
66748,1.02,0.03,-0.06,4.99,0.06,-7.12
66855,1.03,0.04,-0.05,4.96,0.06,-7.11
66961,1.01,0.03,-0.06,4.94,0.13,-7.13
67068,1.02,0.02,-0.06,4.92,0.14,-7.1
67175,1.01,0.03,-0.06,4.94,0.1,-7.09
67281,1.01,0.04,-0.06,4.98,0.12,-7.08
67387,1.03,0.04,-0.05,5.0,0.11,-7.07
67493,1.02,0.03,-0.06,5.0,0.1,-7.11
67600,1.04,0.02,-0.07,4.98,0.36,-7.16
67706,1.02,0.04,-0.06,5.0,0.36,-7.18
67813,1.01,0.03,-0.06,4.96,0.36,-7.2
67920,1.02,0.03,-0.06,4.95,0.37,-7.22
68027,1.02,0.03,-0.06,4.98,0.39,-7.19
68134,1.02,0.03,-0.07,4.99,0.4,-7.22
68240,1.02,0.04,-0.05,4.97,0.42,-7.21
68347,1.04,0.03,-0.04,4.96,0.33,-7.21
68454,1.02,0.03,-0.06,4.95,0.35,-7.26
68561,1.02,0.03,-0.06,5.02,0.37,-7.3
68668,1.03,0.03,-0.06,5.03,0.33,-7.34
68775,1.02,0.03,-0.07,5.03,0.4,-7.36
68882,1.02,0.03,-0.06,5.05,0.41,-7.36
68989,1.02,0.03,-0.06,5.08,0.39,-7.38
69095,1.02,0.04,-0.05,5.09,0.4,-7.4
69201,1.02,0.03,-0.06,5.11,0.39,-7.37
69307,1.01,0.03,-0.06,5.11,0.41,-7.36
69414,1.02,0.04,-0.06,5.08,0.41,-7.37
69521,1.02,0.02,-0.05,5.07,0.4,-7.4
69627,1.02,0.04,-0.06,5.07,0.38,-7.39
69733,1.02,0.03,-0.05,5.08,0.39,-7.38
69840,1.02,0.04,-0.06,5.09,0.43,-7.38
69946,1.02,0.03,-0.06,5.1,0.44,-7.41
70053,1.01,0.02,-0.06,5.09,0.48,-7.4
70159,1.01,0.04,-0.06,5.1,0.47,-7.37
70266,1.02,0.04,-0.05,5.12,0.43,-7.38
70373,1.02,0.03,-0.07,5.1,0.42,-7.37
70480,1.02,0.04,-0.06,5.07,0.42,-7.39
70587,1.02,0.03,-0.07,5.08,0.42,-7.38
70694,1.01,0.03,-0.06,5.1,0.43,-7.38
70800,1.02,0.04,-0.05,5.11,0.46,-7.39
70906,1.02,0.03,-0.07,5.12,0.46,-7.38
71012,1.02,0.03,-0.06,5.12,0.43,-7.36
71119,1.02,0.03,-0.05,5.14,0.45,-7.39
71226,1.03,0.04,-0.05,5.12,0.48,-7.41
71333,1.02,0.03,-0.06,5.11,0.48,-7.42
71440,1.02,0.03,-0.06,5.13,0.49,-7.4
71547,1.04,0.04,-0.05,5.11,0.39,-7.4
71654,1.02,0.04,-0.06,5.1,0.37,-7.42
71760,1.02,0.03,-0.06,5.13,0.35,-7.41
71866,1.03,0.05,-0.06,5.13,0.35,-7.45
71973,1.03,0.04,-0.07,5.14,0.33,-7.47
72079,1.01,0.02,-0.06,5.15,0.34,-7.48
72186,1.02,0.03,-0.05,5.14,0.38,-7.49
72293,1.02,0.03,-0.06,5.16,0.37,-7.51
72401,1.03,0.03,-0.05,5.16,0.36,-7.51
72507,1.03,0.04,-0.06,5.17,0.37,-7.51
72613,1.02,0.03,-0.06,5.18,0.36,-7.52
72719,1.02,0.02,-0.06,5.15,0.36,-7.54
72824,1.02,0.04,-0.06,5.19,0.35,-7.54
72930,1.02,0.03,-0.07,5.2,0.32,-7.56
73036,1.02,0.03,-0.07,5.2,0.31,-7.56
73143,1.02,0.03,-0.06,5.22,0.28,-7.55
73250,1.02,0.03,-0.06,5.27,0.3,-7.54
73356,1.03,0.03,-0.05,5.29,0.29,-7.52
73463,1.02,0.03,-0.05,5.27,0.32,-7.55
73570,1.03,0.03,-0.06,5.3,0.3,-7.55
73677,1.02,0.04,-0.05,5.32,0.31,-7.57
73784,1.02,0.03,-0.06,5.32,0.4,-7.58
73891,1.03,0.04,-0.05,5.34,0.4,-7.58
73998,1.02,0.02,-0.05,5.37,0.42,-7.57
74105,1.03,0.05,-0.04,5.34,0.52,-7.54
74212,1.01,0.03,-0.05,5.34,0.52,-7.54
