millis,accX,accY,accZ,gyroX,gyroY,gyroZ,i,i
1741003791.8482869,8.738836,-0.205901,1.642422,0.217433,-1.124472,-0.132165,35.49176,sit
1741003791.9144452,7.951144,-0.1652,0.356736,0.122573,-1.502315,-0.140692,35.46529,sit
1741003791.9684901,7.285556,0.016759,-0.459687,0.14309,-1.665657,-0.155348,35.49471,sit
1741003792.021671,6.691794,-0.110133,-2.118869,0.066349,-1.722147,-0.055158,35.46235,sit
1741003792.0962913,7.73806,0.021548,-3.457227,-0.16121,-1.660328,-0.12657,35.44471,sit
1741003792.4977045,9.727641,1.091756,-8.236053,-0.050095,-0.344802,0.049296,35.46529,sit
1741003792.581092,9.730036,0.469264,-7.982268,-0.019452,-0.057822,0.09193,35.45941,sit
1741003792.6712177,9.837775,0.567426,-8.566454,-0.050361,0.067415,0.104187,35.45353,sit
1741003792.7744448,8.607155,0.395043,-8.731653,0.099923,0.803917,0.063685,35.46824,sit
1741003792.8777375,9.639056,0.464475,-7.592013,0.122839,0.930221,0.053825,35.44471,sit
1741003792.9606104,8.78672,0.02873,-5.803545,0.23955,1.171103,0.077807,35.45647,sit
1741003793.067036,9.105149,-0.213084,-3.928885,0.275522,1.313127,0.258735,35.45941,sit
1741003793.131844,9.600749,-0.088585,-3.064578,0.188655,1.235054,0.200646,35.45647,sit
1741003793.1946661,9.73243,-0.328006,-1.582567,0.092729,1.092496,0.195317,35.46824,sit
1741003793.2515743,9.837775,-0.833182,-1.039083,0.075409,1.06505,0.142025,35.44765,sit
1741003793.3165028,10.9415,-0.667982,0.110133,0.105519,1.061054,0.081271,35.45353,sit
1741003793.405487,10.05086,-0.538695,0.907402,0.162276,1.091963,0.108717,35.46529,sit
1741003793.4894521,9.821015,-0.878672,1.383849,0.131899,1.048263,0.168404,35.45941,sit
1741003793.5453537,9.583989,-1.034295,2.987964,0.085002,1.095694,0.247011,35.44765,sit
1741003793.5997472,10.2807,-1.369483,4.106056,-0.005862,1.046931,0.086334,35.44765,sit
1741003793.6563969,9.660604,-1.537078,4.532224,-0.040236,1.149519,0.10392,35.44765,sit
1741003793.7170794,7.917625,-1.759738,5.195418,-0.012524,1.340839,0.306432,35.45941,sit
1741003793.7718608,6.394913,-1.628057,6.033388,0.141758,1.11408,0.438331,35.46235,sit
1741003793.8337548,7.364564,-1.75495,5.650316,0.122306,0.536389,0.308031,35.46529,sit
1741003793.8939986,8.590396,-1.383849,4.675876,-0.014123,0.391167,0.179862,35.45353,sit
1741003793.9500158,8.350976,-1.980005,4.747702,0.014922,0.444459,0.111648,35.45353,sit
1741003794.0109808,8.305486,-2.097321,5.530606,0.174799,0.322153,0.058888,35.46235,sit
1741003794.0679445,8.408437,-2.432509,6.059724,0.366919,0.060487,-0.000799,35.45941,sit
1741003794.1209145,8.219295,-1.613692,6.258443,0.290711,-0.090597,0.003997,35.45941,sit
1741003794.1848993,7.747637,-1.592144,5.961562,0.13856,-0.142557,0.117243,35.46235,sit
1741003794.2435734,8.094796,-1.450886,6.083666,0.083669,-0.06928,0.158545,35.46235,sit
1741003794.3032525,8.200141,-1.23062,6.05733,0.019718,0.030377,0.103121,35.46824,sit
1741003794.3658597,8.269572,-1.340753,5.544971,-0.077807,0.039436,-0.000533,35.47118,sit
1741003794.4229739,8.255207,-1.723825,5.45878,-0.12577,0.013057,-0.085002,35.48588,sit
1741003794.4765067,8.106767,-2.090138,5.571307,-0.10925,-0.031709,-0.090597,35.46235,sit
1741003794.531544,8.149862,-2.073379,5.753267,0.005329,-0.07381,-0.043167,35.47706,sit
1741003794.5849662,8.149862,-1.841141,5.700594,0.092995,-0.044499,0.03917,35.48294,sit
1741003794.6652036,8.128315,-1.604115,5.66947,0.061819,-0.048496,0.057023,35.49176,sit
