millis,accX,accY,accZ,gyroX,gyroY,gyroZ
1743731476017.7898,9.718064,-0.560243,2.975993,-0.034907,-0.001066,-0.022916
1743731476237.7124,9.742006,-0.538695,3.055001,-0.019718,0.006662,-0.002398
1743731476446.0,9.662998,-0.584185,2.952051,-0.019452,0.015988,-0.012257
1743731476628.6677,9.674969,-0.612916,3.086126,0.000799,-0.005862,-0.000266
1743731476833.679,9.495404,-0.47884,3.021482,-0.028778,-0.023982,-0.009859
1743731477053.8071,9.555259,-0.677559,3.035848,-0.046364,0.009859,-0.027179
1743731477243.6187,9.495404,-0.440533,3.069367,-0.042634,-0.023715,-0.041302
1743731477448.4143,9.545682,-0.761356,3.038242,-0.04823,-0.046631,-0.062885
1743731477653.3254,9.698911,-0.596156,2.880225,-0.045832,-0.135363,-0.037038
1743731477858.0159,10.4866,0.179565,2.710236,-0.042101,-0.02638,0.023715
