millis,accX,accY,accZ,gyroX,gyroY,gyroZ
1741856299827.1318,10.00058,0.766145,1.582567,0.023449,-0.000799,-0.03464
1741856300007.8735,10.1586,0.730232,2.106898,0.005063,-0.042368,-0.001066
1741856300215.4749,9.775525,0.986411,2.020706,0.0866,-0.179329,-0.018919
1741856300411.0962,9.169792,1.16837,1.915361,-0.023715,0.092196,-0.146554
1741856300633.3694,11.24557,2.030283,0.428562,-0.13936,-0.133498,-0.154015
1741856300856.4448,9.794679,1.599327,1.06542,-0.154015,0.15215,0.021583
1741856301049.6318,9.595961,1.120486,1.78368,0.034374,0.353862,0.188122
1741856301233.0122,6.488286,1.132457,1.450886,0.263265,0.511075,0.359458
1741856301448.309,9.497798,0.316035,2.813187,0.117776,0.117243,0.203577
1741856301652.476,9.715671,0.42138,3.153164,-0.042101,-0.091397,-0.307764
1741856301854.23,9.904813,0.926556,2.92332,-0.01732,-0.054358,-0.027446
1741856302066.305,9.77792,0.907402,2.75812,-0.075409,-0.099657,-0.038637
1741856302266.4514,9.94312,0.782904,2.60968,0.017587,-0.055424,0.033841
1741856302482.0254,9.959879,0.955287,2.650381,-0.00453,-0.007194,-0.000266
1741856302682.9033,9.873688,0.957681,2.513912,-0.0437,0.054092,-0.029844
1741856302888.5583,9.744401,0.775721,2.712631,0.023982,0.030377,0.011724
1741856303083.873,10.08198,1.055843,2.619257,-0.082337,0.012524,0.007461
1741856303299.8843,9.718064,0.751779,2.724602,-0.024515,-0.043966,-0.038904
1741856303499.3032,9.706094,1.010353,2.561796,-0.035972,-0.023182,-0.030643
1741856303701.1428,9.849746,0.842759,2.602497,-0.047963,-0.02638,-0.013057
1741856303904.1748,9.799467,0.833182,2.743755,-0.057822,0.010392,-0.023982
1741856304115.3699,9.811439,0.849942,2.710236,-0.049029,-0.006662,-0.03917
1741856304335.4333,9.866506,0.933739,2.703054,0.004263,-0.007994,0.00453
1741856304524.8584,9.76116,0.936133,2.741361,-0.032242,-0.001066,-0.021583
1741856304729.8447,9.715671,0.876278,2.777274,-0.075409,-0.032775,-0.027446
1741856304955.5442,9.816227,1.022324,2.724602,-0.073011,-0.041035,-0.021051
1741856305148.1008,9.763555,0.818817,2.688689,-0.089531,-0.005862,-0.03464
1741856305350.3738,9.667787,0.943315,2.715025,-0.013057,0.056757,-0.033841
1741856305537.4976,9.627085,0.938527,2.885013,-0.037305,0.049828,-0.022649
1741856305763.0554,9.576807,1.072602,3.129222,-0.218766,0.02638,-0.0874
